temp,dwpt,rhum,prcp,wspd,top5_count,manufacturer
21.7,6.8,38.0,0.0,11.2,2,Toyota
22.0,11.1,50.0,0.0,0.0,0,Toyota
11.1,8.3,83.0,0.2,22.3,3,Toyota
22.2,9.4,44.0,0.0,5.4,1,Toyota
22.2,8.0,40.0,0.0,7.6,0,Toyota
21.7,12.3,55.0,0.0,27.7,0,Toyota
25.6,21.7,79.0,0.0,7.6,1,Toyota
22.8,21.1,90.0,1.3,13.0,2,Toyota
25.6,16.7,58.0,0.0,9.4,1,Toyota
26.7,22.1,76.0,1.0,11.2,0,Toyota
20.6,16.0,75.0,0.0,9.4,0,Toyota
22.2,14.3,61.0,0.0,9.4,1,Toyota
24.4,18.3,69.0,0.0,7.6,0,Toyota
28.0,22.0,70.0,0.0,0.0,1,Toyota
29.4,23.8,72.0,0.0,9.4,2,Toyota
11.2,5.9,70.0,0.0,5.4,0,Toyota
17.8,12.9,73.0,0.0,14.8,1,Toyota
6.1,-0.6,62.0,0.0,14.8,2,Toyota
13.3,-1.9,35.0,0.0,9.4,0,Toyota
22.0,18.0,78.0,0.0,0.0,0,Toyota
19.4,10.1,55.0,0.0,11.2,2,Toyota
16.7,5.3,47.0,0.0,5.4,0,Toyota
12.8,-2.3,35.0,0.0,14.8,2,Toyota
29.2,1.6,17.0,0.0,0.0,1,Toyota
23.1,19.7,81.0,0.0,9.4,2,Toyota
17.2,11.0,67.0,0.0,0.0,1,Toyota
11.0,2.0,54.0,0.0,9.4,0,Toyota
23.3,-5.7,14.0,0.0,22.3,0,Toyota
29.4,0.1,15.0,0.0,0.0,2,Toyota
26.1,7.7,31.0,0.0,13.0,0,Toyota
2.3,-12.7,32.0,0.0,9.4,0,Toyota
19.4,7.8,47.0,0.0,11.2,1,Toyota
6.7,3.8,82.0,1.0,7.6,1,Toyota
24.2,7.8,35.0,0.0,9.4,4,Toyota
21.1,15.6,71.0,0.0,9.4,1,Toyota
24.0,5.8,31.0,0.0,0.0,1,Toyota
20.6,2.9,31.0,0.0,16.6,2,Toyota
18.3,5.2,42.0,0.0,16.6,1,Toyota
21.1,19.4,90.0,0.0,16.6,2,Toyota
24.0,14.1,54.0,0.0,22.3,2,Toyota
23.9,22.2,90.0,0.3,7.6,2,Toyota
23.9,21.8,88.0,1.5,7.6,2,Toyota
23.3,20.6,85.0,0.0,5.4,2,Toyota
28.3,21.1,65.0,0.0,11.2,3,Toyota
19.4,12.9,66.0,0.0,16.6,3,Toyota
20.0,15.0,73.0,0.0,5.4,1,Toyota
26.1,20.0,69.0,0.0,9.4,1,Toyota
28.0,18.1,55.0,0.0,25.9,2,Toyota
22.8,18.3,76.0,0.0,11.2,1,Toyota
17.1,9.0,59.0,0.0,5.4,2,Toyota
11.1,3.9,61.0,0.0,7.6,2,Toyota
3.9,3.3,96.0,0.0,24.1,1,Toyota
14.0,13.0,94.0,0.2,11.2,1,Toyota
14.4,-1.7,33.0,0.0,9.4,0,Toyota
22.2,17.1,73.0,0.0,0.0,0,Toyota
11.3,10.0,92.0,0.0,0.0,3,Toyota
15.0,5.5,53.0,0.0,11.2,0,Toyota
23.1,-2.5,18.0,0.0,3.6,1,Toyota
25.0,22.9,88.0,1.5,0.0,0,Toyota
18.3,12.3,68.0,0.0,0.0,4,Toyota
11.0,-3.1,37.0,0.0,0.0,1,Toyota
22.2,5.6,34.0,0.0,51.8,2,Toyota
22.0,-2.0,20.0,0.0,18.4,1,Toyota
24.4,9.9,40.0,0.0,14.8,2,Toyota
15.0,-2.0,31.0,0.0,14.8,0,Toyota
20.0,2.8,32.0,0.0,7.6,0,Toyota
19.4,6.2,42.0,0.0,14.8,1,Toyota
26.1,17.7,60.0,0.0,7.6,1,Toyota
26.7,9.5,34.0,0.0,18.4,1,Toyota
