dirt track,paved track,road course,temp,dwpt,rhum,prcp,wspd,miles_completed,Chevrolet_fieldcount,Ford_fieldcount,Toyota_fieldcount,top5_count,manufacturer
0,1,0,19.5,-5.5,18.0,0.0,0.0,400.0,17,11,12,2,Toyota
0,1,0,15.0,6.0,55.0,0.0,22.3,400.5,18,10,12,1,Toyota
0,1,0,11.5,-3.1,36.0,0.0,7.6,500.0,17,11,12,1,Toyota
0,1,0,31.1,15.9,40.0,0.0,33.5,400.0,18,11,11,2,Toyota
0,0,1,15.0,4.9,51.0,0.0,11.2,218.9,16,11,12,0,Toyota
0,1,0,17.0,5.0,45.0,0.0,9.4,425.0,16,11,13,3,Toyota
0,1,0,17.0,16.0,94.0,0.0,11.2,400.5,17,11,12,2,Toyota
0,1,0,17.8,15.6,87.0,0.0,16.6,318.458,17,11,12,2,Toyota
0,1,0,25.6,19.0,67.0,0.0,0.0,312.0,17,11,12,1,Toyota
0,1,0,32.8,19.3,45.0,0.0,9.4,400.0,16,12,12,0,Toyota
0,1,0,16.1,15.0,93.0,0.0,14.8,500.0,16,13,11,1,Toyota
0,0,1,25.6,15.0,52.0,0.0,9.4,225.4,16,12,12,3,Toyota
0,1,0,19.4,12.2,63.0,0.0,24.1,406.0,16,13,12,1,Toyota
0,1,0,26.1,23.4,85.0,0.0,0.0,266.5,16,12,12,1,Toyota
0,1,0,26.1,20.7,72.0,0.0,7.6,500.5,16,13,11,0,Toyota
0,1,0,26.7,11.6,39.0,0.0,5.4,300.0,17,12,11,0,Toyota
0,1,0,30.6,19.9,53.0,0.0,9.4,400.5,16,13,11,0,Toyota
0,1,0,20.6,19.4,93.0,4.1,13.0,317.40000000000003,16,13,11,1,Toyota
0,1,0,20.0,17.8,87.0,0.0,5.4,400.0,16,13,11,1,Toyota
0,1,0,21.1,18.3,84.0,0.0,0.0,400.5,17,11,12,0,Toyota
0,1,0,24.4,22.8,91.0,0.3,16.6,501.0,16,13,11,2,Toyota
0,1,0,23.3,20.6,85.0,0.0,5.4,500.08,15,12,13,1,Toyota
0,1,0,16.0,15.0,94.0,0.8,14.8,263.0,16,13,11,1,Toyota
0,1,0,22.2,21.0,93.0,0.0,0.0,501.0,16,14,11,1,Toyota
0,1,0,2.0,-4.1,64.0,0.0,0.0,312.0,16,12,12,1,Toyota
0,1,0,26.7,11.2,38.0,0.0,14.8,400.5,17,12,12,1,Toyota
0,1,0,16.0,7.0,55.0,0.0,0.0,266.5,17,10,12,1,Toyota
0,1,0,11.1,6.0,71.0,0.0,0.0,400.0,17,11,12,1,Toyota
0,1,0,3.0,0.7,85.0,0.0,0.0,263.0,17,11,12,1,Toyota
0,1,0,18.3,7.7,50.0,0.0,16.6,501.0,16,12,12,0,Toyota
0,1,0,23.5,1.2,23.0,0.0,9.4,500.08,17,11,12,0,Toyota
0,1,0,24.6,21.3,82.0,0.0,18.4,300.0,17,11,12,3,Toyota
0,1,0,17.2,16.1,93.0,5.3,13.0,505.0,16,13,11,1,Toyota
