temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,date,rain_binary,location
23.3,6.6,34.0,0.0,270.0,16.6,1015.1,No Rain,2000-04-30,False, California (Auto Club)
6.7,1.6,70.0,0.0,300.0,22.3,1007.4,No Rain,2000-04-09,False, Martinsville
29.4,20.0,57.0,0.0,210.0,7.6,1010.0,No Rain,2000-05-28,False, Charlotte
23.0,19.0,78.0,0.0,220.0,5.4,1019.2,No Rain,2000-05-06,False, Richmond
30.0,18.8,51.0,0.0,230.0,24.1,1013.7,No Rain,2000-06-11,False, Michigan
18.3,17.1,93.0,0.3,330.0,11.2,1015.7,Light Rain,2000-06-19,True, Pocono
20.0,12.3,61.0,0.0,250.0,29.5,1016.6,No Rain,2000-06-25,False, Sonoma
20.6,10.1,51.0,0.0,300.0,9.4,1019.0,No Rain,2000-06-04,False, Dover
24.4,22.3,88.0,0.0,260.0,13.0,1015.2,No Rain,2000-07-01,False, Daytona
22.8,12.1,51.0,0.0,290.0,9.4,1016.9,No Rain,2000-07-23,False, Pocono
21.7,8.2,42.0,0.0,10.0,9.4,1016.0,No Rain,2000-07-09,False, New Hampshire
20.0,10.7,55.0,0.0,350.0,9.4,1023.3,No Rain,2000-08-20,False, Michigan
23.9,14.9,57.0,0.0,30.0,14.8,1018.1,No Rain,2000-08-05,False, Indianapolis
11.7,4.9,63.0,0.0,230.0,5.4,1010.0,No Rain,2000-09-17,False, New Hampshire
20.0,20.0,100.0,0.0,30.0,5.4,1012.8,No Rain,2000-09-24,False, Dover
22.0,18.0,78.0,0.0,250.0,9.4,1020.0,No Rain,2000-09-09,False, Richmond
19.4,18.2,93.0,0.0,320.0,7.6,1010.0,No Rain,2001-10-15,False, Martinsville
17.2,14.5,84.0,0.0,,0.0,1019.8,No Rain,2001-10-21,False, Talladega
35.0,9.4,21.0,0.0,,0.0,1010.2,No Rain,2001-10-28,False, Phoenix
14.4,3.8,49.0,0.0,10.0,24.1,1017.1,No Rain,2001-10-07,False, Charlotte
21.7,17.9,79.0,0.0,100.0,5.4,1020.4,No Rain,2001-11-11,False, Homestead
18.3,8.8,54.0,0.0,90.0,7.6,1025.7,No Rain,2001-11-18,False, Atlanta
2.2,-2.1,73.0,0.0,,0.0,1021.7,No Rain,2001-11-23,False, New Hampshire
17.8,13.9,78.0,0.0,50.0,22.3,1020.1,No Rain,2001-02-18,False, Daytona
12.2,-2.8,35.0,0.0,150.0,5.4,1017.4,No Rain,2001-03-11,False, Atlanta
10.0,3.3,63.0,0.0,330.0,14.8,1016.4,No Rain,2001-03-25,False, Bristol
15.0,-3.4,28.0,0.0,,0.0,1012.0,No Rain,2001-03-04,False, Las Vegas
20.0,11.7,59.0,0.0,330.0,22.3,1014.6,No Rain,2001-04-01,False, Texas
23.9,10.6,43.0,0.0,200.0,7.6,1026.2,No Rain,2001-04-22,False, Talladega
16.1,11.7,75.0,0.0,280.0,11.2,1013.5,No Rain,2001-04-29,False, California (Auto Club)
24.4,13.9,52.0,0.0,230.0,11.2,1018.1,No Rain,2001-04-08,False, Martinsville
21.1,10.0,49.0,0.0,190.0,7.6,1012.4,No Rain,2001-05-27,False, Charlotte
26.0,17.1,58.0,0.0,200.0,7.6,1017.2,No Rain,2001-05-05,False, Richmond
23.9,9.8,41.0,0.0,250.0,11.2,1012.8,No Rain,2001-06-10,False, Michigan
23.3,22.8,97.0,0.8,90.0,9.4,1013.9,Light Rain,2001-06-17,True, Pocono
16.1,10.0,67.0,0.0,240.0,27.7,1015.6,No Rain,2001-06-24,False, Sonoma
20.6,16.0,75.0,0.0,150.0,5.4,1004.4,No Rain,2001-06-03,False, Dover
28.0,7.3,27.0,0.0,100.0,14.8,1015.1,No Rain,2001-07-15,False, Chicagoland
25.6,15.0,52.0,0.0,200.0,9.4,1014.1,No Rain,2001-07-22,False, New Hampshire
22.8,12.7,53.0,0.0,170.0,11.2,1022.4,No Rain,2001-07-29,False, Pocono
27.8,22.3,72.0,0.0,120.0,11.2,1017.9,No Rain,2001-07-07,False, Daytona
17.8,17.2,96.0,2.8,30.0,5.4,1010.4,Moderate Rain,2001-08-19,True, Michigan
25.6,19.5,69.0,0.0,,0.0,1017.1,No Rain,2001-08-25,False, Bristol
29.4,19.4,55.0,0.0,20.0,14.8,1015.3,No Rain,2001-08-05,False, Indianapolis
22.2,21.0,93.0,0.0,150.0,13.0,1016.1,No Rain,2001-09-23,False, Dover
18.3,12.3,68.0,0.0,80.0,13.0,1024.5,No Rain,2001-09-30,False, Kansas
23.9,19.0,74.0,0.0,140.0,14.8,1018.6,No Rain,2001-09-08,False, Richmond
22.2,19.0,82.0,0.0,200.0,5.4,1018.7,No Rain,2002-10-13,False, Charlotte
15.0,10.6,75.0,0.0,190.0,7.6,1017.6,No Rain,2002-10-20,False, Martinsville
18.9,16.1,84.0,0.0,,0.0,1017.4,No Rain,2002-10-27,False, Atlanta
25.0,24.3,96.0,0.0,,0.0,1017.4,No Rain,2002-10-06,False, Talladega
27.2,9.5,33.0,0.0,230.0,22.3,,No Rain,2002-11-10,False, Phoenix
21.7,17.9,79.0,18.5,230.0,16.6,1009.5,Heavy Rain,2002-11-17,True, Homestead
16.1,10.6,70.0,0.0,240.0,5.4,1016.8,No Rain,2002-02-17,False, Daytona
17.2,15.0,87.0,0.0,260.0,14.8,1024.0,No Rain,2002-03-10,False, Atlanta
6.7,-10.6,28.0,0.0,240.0,13.0,1020.5,No Rain,2002-03-24,False, Bristol
10.6,-15.8,14.0,0.0,10.0,14.8,1024.9,No Rain,2002-03-03,False, Las Vegas
