"season","race","site","track","track_length","track_type","laps","driver_finish_1","driver_finish_2","driver_finish_3","driver_finish_4","driver_finish_5","manufacturer_finish_1","manufacturer_finish_2","manufacturer_finish_3","manufacturer_finish_4","manufacturer_finish_5","avg_pos_swap","Chevrolet_fieldcount","Ford_fieldcount","Oldsmobile_fieldcount","Pontiac_fieldcount","Buick_fieldcount","Dodge_fieldcount","Toyota_fieldcount","total_fieldcount"
1994,16,"Loudon","New Hampshire International Speedway",1.058,"paved track",300,"Ricky Rudd","Dale Earnhardt","Rusty Wallace","Mark Martin","Todd Bodine","Ford","Chevrolet","Ford","Ford","Ford",11.2857142857143,15,23,0,4,0,0,0,42
1994,17,"Pocono","Pocono International Raceway",2.5,"paved track",200,"Geoffrey Bodine","Ward Burton","Joe Nemechek","Jeff Burton","Morgan Shepherd","Ford","Chevrolet","Chevrolet","Ford","Ford",11.1428571428571,13,24,0,5,0,0,0,42
1994,18,"Talladega","Talladega Superspeedway",2.66,"paved track",188,"Jimmy Spencer","Bill Elliott","Ernie Irvan","Ken Schrader","Sterling Marlin","Ford","Ford","Ford","Chevrolet","Chevrolet",10.3809523809524,13,24,0,5,0,0,0,42
1994,19,"Indianapolis","Indianapolis Motor Speedway",2.5,"paved track",160,"Jeff Gordon","Brett Bodine","Bill Elliott","Rusty Wallace","Dale Earnhardt","Chevrolet","Ford","Ford","Ford","Chevrolet",10.9302325581395,15,23,0,5,0,0,0,43
1994,2,"Rockingham","North Carolina Motor Speedway",1.017,"paved track",492,"Rusty Wallace","Sterling Marlin","Rick Mast","Mark Martin","Ernie Irvan","Ford","Chevrolet","Ford","Ford","Ford",11.7142857142857,13,24,0,5,0,0,0,42
1994,20,"Watkins Glen","Watkins Glen International",2.45,"road course",90,"Mark Martin","Ernie Irvan","Dale Earnhardt","Ken Schrader","Ricky Rudd","Ford","Ford","Chevrolet","Chevrolet","Ford",6.8,16,19,0,5,0,0,0,40
1994,21,"Michigan","Michigan International Speedway",2,"paved track",200,"Geoffrey Bodine","Mark Martin","Rick Mast","Rusty Wallace","Bobby Labonte","Ford","Ford","Ford","Ford","Pontiac",10.390243902439,14,23,0,4,0,0,0,41
1994,22,"Bristol","Bristol International Raceway",0.533,"paved track",500,"Rusty Wallace","Mark Martin","Dale Earnhardt","Darrell Waltrip","Bill Elliott","Ford","Ford","Chevrolet","Chevrolet","Ford",11.6666666666667,12,19,0,5,0,0,0,36
1994,23,"Darlington","Darlington Raceway",1.366,"paved track",367,"Bill Elliott","Dale Earnhardt","Morgan Shepherd","Ricky Rudd","Sterling Marlin","Ford","Chevrolet","Ford","Ford","Chevrolet",14.952380952381,13,24,0,5,0,0,0,42
1994,24,"Richmond","Richmond International Raceway",0.75,"paved track",400,"Terry Labonte","Jeff Gordon","Dale Earnhardt","Rusty Wallace","Ricky Rudd","Chevrolet","Chevrolet","Chevrolet","Ford","Ford",11.2631578947368,13,20,0,5,0,0,0,38
1994,25,"Dover","Dover Downs International Speedway",1,"paved track",500,"Rusty Wallace","Dale Earnhardt","Darrell Waltrip","Ken Schrader","Geoffrey Bodine","Ford","Chevrolet","Chevrolet","Chevrolet","Ford",12.85,13,22,0,5,0,0,0,40
1994,26,"Martinsville","Martinsville Speedway",0.526,"paved track",500,"Rusty Wallace","Dale Earnhardt","Bill Elliott","Kenny Wallace","Dale Jarrett","Ford","Chevrolet","Ford","Ford","Chevrolet",9.27777777777778,12,19,0,5,0,0,0,36
1994,27,"North Wilkesboro","North Wilkesboro Speedway",0.625,"paved track",400,"Geoffrey Bodine","Terry Labonte","Rick Mast","Rusty Wallace","Mark Martin","Ford","Chevrolet","Ford","Ford","Ford",9.94444444444444,12,19,0,5,0,0,0,36
1994,28,"Charlotte","Charlotte Motor Speedway",1.5,"paved track",334,"Dale Jarrett","Morgan Shepherd","Dale Earnhardt","Ken Schrader","Lake Speed","Chevrolet","Ford","Chevrolet","Chevrolet","Ford",13.4285714285714,13,24,0,5,0,0,0,42
